"Taxa","core70","core80","core90"
"Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae",1,1,1
"Bacteria;Bacteroidetes;Cytophagia;Cytophagales",1,1,NA
"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales",1,1,1
"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales",1,1,1
"Bacteria;Bacteroidetes;__;__",1,NA,NA
"Bacteria;Firmicutes;Bacilli;Bacillales",1,1,NA
"Bacteria;Planctomycetes;Planctomycetia;Planctomycetales",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales",1,1,1
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales",1,NA,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;__",1,1,1
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales",1,NA,NA
"Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales",1,1,NA
"Bacteria;Proteobacteria;Betaproteobacteria;__",1,1,1
"Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales",1,NA,NA
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales",1,1,NA
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales",1,1,1
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales",1,1,1
"Bacteria;Proteobacteria;Gammaproteobacteria;__",1,1,1
"Bacteria;Proteobacteria;__;__",1,1,1
"Bacteria;__;__;__",1,1,1
"Bacteria;unclassified_Bacteria;;__",1,1,1
